episode_id,section_index,gender,minutes,tunnus,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,oh,"Praegu ju väga aktuaalne teema , metsa majandamine ja ja kui selle peale üldse mõelda , et noh , kui , Liikuda siin Valgamaal ringi , siis jälle aastad , et oh , et üks maa metsa maha võetud , et mis sa sellest kõigest arvad ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,oh,"Ja eks see Tallinnas olete oma võlu , ma ise mõtlen ka selle peale , et et just need teenused ja poed ja kultuurielu ja see oli nagu nii lihtsasti kättesaadav , et oh , tahan täna minna sinna , siis lähen ja samas oli väga palju võimalusi , aga aga , aga mina mäletan oma oma ajast just seda , et , et see elukoht oli ka võib-olla see mure , et kui ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,oh,"Ma ei usu , et nad vaatavad seda kui sellist , nagu et oh , me oleme siin mingi seisev vesi ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,oh,"Nagu sa ütlesid , oh seda väga eri lissügisel ehk siis hilissügisel vist oli isegi oktoobri alguses , kui ma eetri peast mäletan See muidugi võib natuke ilmselt neid kaarte ka segamini aga teisalt jälle meil ongi ainult üks reaalne medalikandidaat ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,3,M,17.469833333333334,oh,"Ma võin natuke eksida , aga , aga noh põhimõtteliselt tekkis samasugune muusika üle maailma samasuguse sisuga samasuguse olemuse ga kõik tahtsid teha sama asja , sest see oli nii hea nagu et noh siis kõik andsid välja tükk aega suht sarnast muusikat , mida siis liidis Manford esan , kes andis uue loo välja kõik , oh , see on üli head , midagi sarnast jälle nagu et see on niisugune just ülihea näide selle sarnase muusika tootmisega , nagu ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,4,M,12.370666666666663,oh,"Ja mõni vahetevahel lihtsalt kuuleb , et oh kurat , päris hea pet ."
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,2,M,14.613833333333332,oh,"Ei ohvi ja ma nüüd ma täpselt ei mäleta , kas see oli kas see oli äkki poolfinaal või oli see pronksiseene Viljandi vastu , mäletan Viljandi vanas võimlas veel siis ei olnud seda suur spordihoonet , seal mängiti ja ja ma olin seda mängu seal vaatamas ja , ja kajastamas ja ja , ja ega ma eriti ei teadnud Andrei enne seda ja siis nad võitsid selle mängu ära ja , ja siis siis ma mäletan , kui Andreil olid ka seal silmad määras vesi korda , vaatasin , oh , mis treener see selline on , eks ole ."
20210321_episood_2__prgitelevisioon,0,M,41.82983333333333,oh,"Issand , jah , oh , ma ei ka starteriga , muidugi ärme sellesse laskuma , mul on omad ideed ."
20210321_episood_2__prgitelevisioon,1,M,21.388166666666667,oh,"Ta on nagu õnnestunud täiesti sellega , mida ta Oh ei , see , mis ta teeb , see ju täidab täpselt tema eesmärki täielikult ."
20190904_bipolaarne_vandenud_1,3,M,23.900166666666664,oh,"Sest loll inimene on lihtne juhtida ja loll inimene tuleb ju , vaatab , oh , tema on tark , me läheme tema järgi , minu meelest ongi see koolisüsteem , vaata , mis üritab teha , on see , et nagu vaata , see on see tehase töövärk , tuletan meelde , et täna on 31. august ja homme on esimene september siis me võime rääkida siis koolisüsteemi kukutamisest ."
