episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,D,täitsa,tegelikult,"Et see on täitsa tegelikult , see on täitsa võimalik ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,A,täitsa,võimalik,"Et see on täitsa tegelikult , see on täitsa võimalik ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,A,täitsa,normaalne,"Ja , ja seda tuleks ära kasutada neid olukordi ja praegu , et see võrkpallinaiskad välja pandi ja , ja et nad võistlevad ja mängivad tüdrukud on ju kuskil kõik väljamaal täitsa normaalne punt on koos , näe , kohe finaalturniiri kandidaadid ."
20200319_kinnisvaraintervjuu_01_tnu_toompark_kinnisvarakool_o_ja_anton_nikitin_ecoadvice_o,0,M,8.516166666666667,D,täitsa,hästi,"Tänan küsimast , täitsa hästi , kuidas ise ."
20200319_kinnisvaraintervjuu_01_tnu_toompark_kinnisvarakool_o_ja_anton_nikitin_ecoadvice_o,0,M,8.516166666666667,D,täitsa,täitsa,"Aga viimase kahe kuu jooksul me saame paar ehitusluba kätte ja paar ehitusluba väljastamisel , seega nagu selleks aastaks meil olid täitsa täitsa head plaanid ."
20200319_kinnisvaraintervjuu_01_tnu_toompark_kinnisvarakool_o_ja_anton_nikitin_ecoadvice_o,0,M,8.516166666666667,A,täitsa,hea,"Aga viimase kahe kuu jooksul me saame paar ehitusluba kätte ja paar ehitusluba väljastamisel , seega nagu selleks aastaks meil olid täitsa täitsa head plaanid ."
20200319_kinnisvaraintervjuu_01_tnu_toompark_kinnisvarakool_o_ja_anton_nikitin_ecoadvice_o,0,M,8.516166666666667,V,täitsa,toimuma,Ikka kinnisvara on niisugused inimesed lahendavad oma esmase probleemid esmased vajadused ja sel põhjusel see nagu täitsa toimus .
20210413_episood_4_kas_vanasti_oli_muusika_parem,2,M,24.133833333333335,V,täitsa,pekkima,"Ja siis tõmbab niisuguse loo täitsa pekkis , nagu , kui niisugune vend tuleks mul ukse taha praegu küsis , et kuule , et ma kirjutasin sisulise loo , kas ma võiksin sul sa , et kas ma võiksin sul salvestada , ma võtaks seda tasuta salvestama puhtalt sellepärast , et see lugu on nii hea ."
20200326_kinnisvaraintervjuu_03_tnu_toompark_kinnisvarakool_ja_jaan_liitme_domus_fnd_o,0,M,14.496999999999998,D,täitsa,hästi,"See on , see on huvitav teema , et kui nüüd ma olen võib-olla omas valdkonnas täitsa hästi hakkama saanud , olen normaalset sissetulekut saanud ."
20210404_episood_3_emoosekandid_ja_co2paraad,0,M,52.372166666666665,V,täitsa,pekkima,No täitsa pekkis .
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,3,M,8.922666666666665,D,täitsa,täitsa,"No teine oli ikkagi , kui sa vaatad seda nii-öelda palli liikumist seal ja sööte ja , ja ütleme , meisterlikkust , mida see löök üsna terava nurga alt veel nõudis , oli ikka täitsa täitsa , oh ."
20190115_mehed_ei_nuta_kas_ott_tnak_peaks_olema_aeglasem_kas_lati_alt_jooksis_kullame_vi_klubi_omanik,6,M,20.665000000000003,V,täitsa,tunduma,Aastavahetuse kuidagi on täitsa tundub tegelikult selline üsna nagu mõttetu tähtpäev ausalt öeldes .
20190904_bipolaarne_vandenud_1,1,M,19.144999999999996,A,täitsa,võimalik,"Minu esimene kokkupuude selliste asjadega oligi ka läbi ulme filmi ja täitsa võimalik , et ma läbi sinu sain selle , Silver , ma võisin anda sulle Ja tol hetkel oli küll , et , et et ."
20190904_bipolaarne_vandenud_1,3,M,23.900166666666664,A,täitsa,soodus,"Aga ta ei teinud ju midagi , täitsa soodus kätt siis kõik , kui ma arvan , et jätkub samamoodi väga , väga muutu isiksusega inimene nagu kim , on Kun , et võib-olla see on algus , on ."
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,15,M,2.897000000000003,D,täitsa,täitsa,"Ja väike sees saata väikse , see tähistas kuskil saunas seal , kurat , ma lähen , et selle hooaeg sai neid plommitud seal ja sai , käisime seal , aga pane see lugu ja siis koos seal meenutas Ta nagu selle loo saatel neid koerustükke , noh teinekord täitsa täitsa niisugune ."
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,1,M,1.836166666666666,V,täitsa,tundma,"Istume praegu laua taga , aga ma täitsa tunnen , nagu ma oleksin seal memoriaalis läbi käinud ."
20210422_episood_5_elu_surm_ja_kanade_lestus,0,M,83.633,A,täitsa,huvitav,Täitsa huvitav .
20210422_episood_5_elu_surm_ja_kanade_lestus,0,M,83.633,A,täitsa,muusikakauge,"Mul oli päris mitmed õpetajad olid Elleri nimelisest muusikakoolist , et kui näiteks ütleme , kui oled , ütleme täitsa muusikakauge inimene ja jaanipäevaks tahad mingi Smilersi laulu selgeks õppida , siis tuled , maksad natuke raha ja saad seda ."
20210422_episood_5_elu_surm_ja_kanade_lestus,0,M,83.633,A,täitsa,huvitav,"Et on , on natuke natuke tehtud ja , ja , ja neid raadioklippe teen igapäevaselt ja ma ei kujutagi ette , et kui kuidas , kuidas elada , kui teeks ainult ühte asja , et see on täiesti nagu täitsa huvitav mõte minu jaoks , et , et peab olema hunt , kriimsilm , siis on endal ka elu kirev ja , ja , ja silmaring palju laiem ."
20210422_episood_5_elu_surm_ja_kanade_lestus,0,M,83.633,V,täitsa,tundma,"Arva ära , et ega väga väga ei lähe , et me oleme , samas oleme nagu sellises , ütleme ootusrežiimis olnud juba päris pikka aega ja samas samas on ka nagu masendust on natuke siis on , siis on lootusekiiri vahepeal tulnud ja siis on hästi hästi suur viha on ka riigi vastu , et neid tundeid on nagu täitsa nagu niisugune täitsa tunnete , karussell on , et ei oska nagu enam midagi arvata , et aasta tagasi oli küll , et kui see esimene , ütleme see lokdown või asi tuli , et siis oli selline mõte , et noh , noh , kuskil keegi küsis nagu intervjuud ka siis ma ütlesin , et , et oh , mis seal mis seal on , et kannatame ära , et oleme natuke kinni ja kõik on lahe , saame terveks ja paneme pidudega edasi ."
20210422_episood_5_elu_surm_ja_kanade_lestus,0,M,83.633,D,täitsa,täitsa,Täitsa täitsa pull aeg .
