lemma,group1,group2,meandiff,p_adj,lower,upper,reject
aktiivne,F_aktiivne,M_aktiivne,-4.9906,0.9885,-12.9427,2.9615,False
eelmine,F_eelmine,M_eelmine,-0.7657,1.0,-6.1879,4.6566,False
erinev,F_erinev,M_erinev,-2.1604,1.0,-6.9357,2.6149,False
halb,F_halb,M_halb,0.6297,1.0,-5.1591,6.4186,False
hea,F_hea,M_hea,0.1395,1.0,-4.413,4.6919,False
huvitav,F_huvitav,M_huvitav,1.6789,1.0,-3.8194,7.1772,False
ilus,F_ilus,M_ilus,-0.7965,1.0,-6.2706,4.6777,False
järgmine,F_järgmine,M_järgmine,0.3947,1.0,-4.598,5.3874,False
keeruline,F_keeruline,M_keeruline,-1.7112,1.0,-7.5135,4.0911,False
keskmine,F_keskmine,M_keskmine,-3.967,0.9998,-11.295,3.361,False
kiire,F_kiire,M_kiire,-0.5171,1.0,-7.419,6.3849,False
kindel,F_kindel,M_kindel,-0.2453,1.0,-6.0341,5.5436,False
kogu,F_kogu,M_kogu,1.5551,1.0,-3.1164,6.2266,False
konkreetne,F_konkreetne,M_konkreetne,-1.0173,1.0,-7.8453,5.8107,False
korralik,F_korralik,M_korralik,0.8358,1.0,-6.9772,8.6487,False
kõva,F_kõva,M_kõva,1.64,1.0,-10.7044,13.9843,False
lahe,F_lahe,M_lahe,-1.5771,1.0,-9.2493,6.0951,False
lihtne,F_lihtne,M_lihtne,-1.5717,1.0,-7.092,3.9486,False
mõnus,F_mõnus,M_mõnus,-1.4441,1.0,-8.9178,6.0296,False
naljakas,F_naljakas,M_naljakas,-0.3113,1.0,-9.411,8.7885,False
noor,F_noor,M_noor,-9.4286,0.0,-15.5834,-3.2739,True
oluline,F_oluline,M_oluline,-5.1531,0.0674,-10.4048,0.0985,False
pikk,F_pikk,M_pikk,0.0316,1.0,-5.4755,5.5387,False
positiivne,F_positiivne,M_positiivne,0.0772,1.0,-5.9568,6.1113,False
praegune,F_praegune,M_praegune,-1.2684,1.0,-7.3463,4.8095,False
puhas,F_puhas,M_puhas,-0.4191,1.0,-7.3624,6.5241,False
põnev,F_põnev,M_põnev,-0.9712,1.0,-7.6004,5.6581,False
raske,F_raske,M_raske,-0.6819,1.0,-5.8443,4.4806,False
selge,F_selge,M_selge,-0.264,1.0,-5.5753,5.0474,False
seotud,F_seotud,M_seotud,-2.5307,1.0,-8.5604,3.4989,False
suur,F_suur,M_suur,-2.0732,1.0,-6.6071,2.4608,False
tavaline,F_tavaline,M_tavaline,-1.1062,1.0,-8.1823,5.9699,False
teatud,F_teatud,M_teatud,-0.355,1.0,-6.8771,6.167,False
tehtud,F_tehtud,M_tehtud,-0.1416,1.0,-5.5245,5.2412,False
terve,F_terve,M_terve,0.3289,1.0,-5.1262,5.7841,False
tore,F_tore,M_tore,-1.7082,1.0,-7.092,3.6757,False
tugev,F_tugev,M_tugev,-0.9752,1.0,-7.1965,5.2461,False
tähtis,F_tähtis,M_tähtis,-0.8123,1.0,-7.9628,6.3383,False
täis,F_täis,M_täis,-0.1577,1.0,-6.989,6.6736,False
tänane,F_tänane,M_tänane,0.2777,1.0,-5.2294,5.7848,False
uus,F_uus,M_uus,-0.48,1.0,-5.1515,4.1915,False
vaba,F_vaba,M_vaba,-2.4213,1.0,-8.9624,4.1198,False
vaimne,F_vaimne,M_vaimne,-5.1081,0.9992,-14.0717,3.8556,False
valmis,F_valmis,M_valmis,-1.7517,1.0,-8.4329,4.9294,False
vana,F_vana,M_vana,2.6546,1.0,-2.887,8.1962,False
viimane,F_viimane,M_viimane,-1.4201,1.0,-6.3082,3.4681,False
väike,F_väike,M_väike,0.0857,1.0,-4.7947,4.9661,False
võimalik,F_võimalik,M_võimalik,-3.6628,0.8201,-8.6656,1.34,False
äge,F_äge,M_äge,-1.5448,1.0,-7.8612,4.7715,False
õige,F_õige,M_õige,-1.0527,1.0,-5.8969,3.7915,False
