lemma,group1,group2,meandiff,p_adj,lower,upper,reject
ainult,F_ainult,M_ainult,-1.9282,1.0,-15.3133,11.4568,False
edasi,F_edasi,M_edasi,1.4815,1.0,-11.5003,14.4632,False
ei,F_ei,M_ei,4.9463,1.0,-9.4023,19.2949,False
eks,F_eks,M_eks,-3.0988,1.0,-16.8811,10.6836,False
hästi,F_hästi,M_hästi,-8.4506,0.9645,-21.2165,4.3153,False
ikka,F_ikka,M_ikka,3.0814,1.0,-10.0234,16.1862,False
ikkagi,F_ikkagi,M_ikkagi,-2.7767,1.0,-15.6184,10.065,False
isegi,F_isegi,M_isegi,2.7439,1.0,-10.2584,15.7461,False
jah,F_jah,M_jah,6.4868,1.0,-6.4337,19.4072,False
ju,F_ju,M_ju,-4.6859,1.0,-17.4518,8.08,False
juba,F_juba,M_juba,-4.2425,1.0,-17.0084,8.5233,False
just,F_just,M_just,-3.9852,1.0,-16.8025,8.8321,False
ka,F_ka,M_ka,-27.1915,0.0,-39.8138,-14.5693,True
kas,F_kas,M_kas,-3.9643,1.0,-16.7301,8.8016,False
kindlasti,F_kindlasti,M_kindlasti,-6.9577,0.9999,-19.9033,5.9878,False
kohe,F_kohe,M_kohe,0.1544,1.0,-13.1174,13.4261,False
kuidagi,F_kuidagi,M_kuidagi,1.0842,1.0,-12.5422,14.7107,False
kuidas,F_kuidas,M_kuidas,-6.6631,1.0,-19.3559,6.0297,False
kus,F_kus,M_kus,-2.4025,1.0,-15.1683,10.3634,False
kõige,F_kõige,M_kõige,-3.3683,1.0,-16.2611,9.5245,False
küll,F_küll,M_küll,2.5012,1.0,-10.3161,15.3185,False
lihtsalt,F_lihtsalt,M_lihtsalt,7.9894,0.9922,-4.931,20.9098,False
miks,F_miks,M_miks,-3.7495,1.0,-17.0796,9.5806,False
mitte,F_mitte,M_mitte,-1.9301,1.0,-14.9828,11.1226,False
natuke,F_natuke,M_natuke,1.6736,1.0,-11.8492,15.1965,False
nii,F_nii,M_nii,-15.075,0.0012,-27.6973,-2.4528,True
nii-öelda,F_nii-öelda,M_nii-öelda,-2.1721,1.0,-15.7876,11.4434,False
niimoodi,F_niimoodi,M_niimoodi,0.4666,1.0,-12.6206,13.5539,False
noh,F_noh,M_noh,5.9023,1.0,-6.9905,18.7951,False
nüüd,F_nüüd,M_nüüd,2.7681,1.0,-9.8541,15.3904,False
palju,F_palju,M_palju,-10.7887,0.3674,-23.4815,1.9041,False
praegu,F_praegu,M_praegu,-4.498,1.0,-17.2639,8.2679,False
päris,F_päris,M_päris,-0.2093,1.0,-13.3141,12.8955,False
rohkem,F_rohkem,M_rohkem,-2.8362,1.0,-15.729,10.0566,False
seal,F_seal,M_seal,8.3635,0.9676,-4.3293,21.0563,False
sellepärast,F_sellepärast,M_sellepärast,-0.9767,1.0,-14.6277,12.6743,False
siin,F_siin,M_siin,8.199,0.981,-4.5669,20.9649,False
siis,F_siis,M_siis,-13.1066,0.0261,-25.7289,-0.4843,True
sinna,F_sinna,M_sinna,-0.8537,1.0,-14.2669,12.5595,False
tegelikult,F_tegelikult,M_tegelikult,-17.4913,0.0,-30.2572,-4.7255,True
täna,F_täna,M_täna,-2.0965,1.0,-14.9893,10.7963,False
täpselt,F_täpselt,M_täpselt,0.3197,1.0,-13.1561,13.7955,False
tõesti,F_tõesti,M_tõesti,-4.779,1.0,-18.1922,8.6341,False
veel,F_veel,M_veel,-1.0375,1.0,-13.6598,11.5848,False
vist,F_vist,M_vist,6.1041,1.0,-8.3884,20.5965,False
väga,F_väga,M_väga,-21.9428,0.0,-34.5651,-9.3206,True
välja,F_välja,M_välja,1.1636,1.0,-11.6023,13.9294,False
võib-olla,F_võib-olla,M_võib-olla,-6.9077,0.9998,-19.53,5.7146,False
ära,F_ära,M_ära,2.0606,1.0,-10.7811,14.9023,False
üldse,F_üldse,M_üldse,-4.9466,1.0,-17.9178,8.0246,False
